Uniq_ID,COMMENT,Age,DBH,Stems,Extra
0,QTY MANY,young,,,Many
1,QTA 12 TO 15IN DBH 10TREESMAYBE,adult,12,10,
2,QTSE,seedling,,,
3,QTA QTY 30 TO 50 STEMS,adult,,30,1 young
4,QTB,unknown,,,
5,QTB,unknown,,,
6,QTSE,seedling,,,
7,QTB,unknown,,,
8,QTB,unknown,,,
9,QTB,unknown,,,
10,QTSE,seedling,,,
11,QTB,unknown,,,
12,QTSE,seedling,,,
13,QTB,unknown,,,
14,QTB,unknown,,,
15,QTB,unknown,,,
16,QTSE,seedling,,,
17,QTSE,seedling,,,
18,QTSE,seedling,,,
19,QTB,unknown,,,
20,QTB,unknown,,,
21,QTSE,seedling,,,
22,QTSE,seedling,,,
23,QTSE,seedling,,,
24,QTSE,seedling,,,
25,QTA QTY POSSIBLY 100 STEMS,young,,100,1 adult
26,QTB,unknown,,,
27,3 QTSE,seedling,,3,
28,QTSE,seedling,,,
29,QTA,adult,,,
30,QTB,unknown,,,
31,QTB,unknown,,,
32,QTSE,seedling,,,
33,QTSE,seedling,,,
34,QTSE,seedling,,,
35,QTB,unknown,,,
36,QTSE,seedling,,,
37,QTSE OR QTB,seedling,,,
38,QTSE,seedling,,,
39,QTSE,seedling,,,
40,QTSE,seedling,,,
41,2 QTA,adult,,2,
42,QTB,unknown,,,
43,QTB,unknown,,,
44,QTB,unknown,,,
45,QTB,unknown,,,
46,QTB QTY,young,,,
47,QTA QTY QTB MAYBE 30 STEMS,adult,,30,1 young
48,QTB,unknown,,,
49,QTBB,unknown,,,
50,4 QTSE,seedling,,4,
51,QTB,unknown,,,
52,QTB,unknown,,,
53,QTSE,seedling,,,
54,QTB,unknown,,,
55,QTSE,seedling,,,
56,QTSE,seedling,,,
57,QTSE QTB 10FT DOWNHILLMAYBE30QTY,seedling,,30,downhill
58,QTSE QTSP,sapling,,,1 seedling
59,4 QTSE,seedling,,4,
60,QTB QTSP,sapling,,,
61,QTB,unknown,,,
62,QTB,unknown,,,
63,QTB,unknown,,,
64,QTSE,seedling,,,
65,QTA,adult,,,
66,2 QTSE,seedling,,2,
67,QTB,unknown,,,
68,QTB,unknown,,,
69,QTB,unknown,,,
70,QTB,unknown,,,
71,QTB,unknown,,,
72,QTA,adult,,,
73,QTSP,sapling,,,
74,2QTY QTB,young,,2,
75,8QTA 1QTY,adult,,8,1 young
76,5 QTSE,seedling,,5,
77,QTB,unknown,,,
78,1QTA 2QTY QTB,adult,,,2 young
79,QTSP,sapling,,,
80,QTB,unknown,,,
81,QTB,unknown,,,
82,QTY,young,,,
83,QTB,unknown,,,
84,QTB,unknown,,,
85,QTSE,seedling,,,
86,QTSP,sapling,,,
87,QTY,young,,,
88,QTA,adult,,,
89,1 TO 3QTA 1QTY,adult,,1 to 3 adult,1 young
90,QTSP,sapling,,,
91,2QTA,adult,,2,
92,2QTY NOT QTA,young,,2,
93,QTA,adult,,,
94,QTA QTB,adult,,,
95,QTSE,seedling,,,
96,LARGE QTSE,seedling,,,large
97,QTY QTSE QTSP,young,,,seedling and sapling
98,QTSE,seedling,,,
99,QTA,adult,,,
100,QTA,adult,,,
101,QTA 2STEM,adult,,2,
102,QTA STUMP,adult,,,stump
103,QTSE,seedling,,,
104,QTA STUMP,adult,,,stump
105,QTA,adult,,,
106,QTA,adult,,,
107,QTSP,sapling,,,
108,QTB,unknown,,,
109,QTB,unknown,,,
110,QTSE,seedling,,,
111,QTSE,seedling,,,
112,QTB,unknown,,,
113,QTA,adult,,,
114,QTB,unknown,,,
115,QTSE,seedling,,,
116,QTSE,seedling,,,
117,QTB,unknown,,,
118,QTB,unknown,,,
119,QTSE,seedling,,,
120,QTB,unknown,,,
121,QTB,unknown,,,
122,QTSP,sapling,,,
123,QTA QTY QTB,adult,,,1 young
124,QTSE,seedling,,,
125,LARGE QTB,unknown,,,large
126,QTB,unknown,,,
127,QTB,unknown,,,
128,QAB,adult,,,
129,QTB,unknown,,,
130,QTB,unknown,,,
131,QTB,unknown,,,
132,QTB QTSP,sapling,,,
133,QTB,unknown,,,
134,QTA QTY SEVERAL LG CANOPY,adult,,,"several young, large canopy"
135,QTSE,seedling,,,
136,QTB,unknown,,,
137,QTB,unknown,,,
138,QTB QTSP,sapling,,,
139,QTB,unknown,,,
140,QTB,unknown,,,
141,QTB QTSP,sapling,,,
142,QTA,adult,,,
143,QTA,adult,,,
144,7QTA 1QTY,adult,,7,1 young
145,QTA,adult,,,
146,QTA QTY ABOUT 50 STEMS QTSE QTB,seedling,,50,"1 young, 1 adult"
147,QTY,young,,,
148,QTY,young,,,
149,QTY,young,,,
150,QTB,unknown,,,
151,QTSE,seedling,,,
152,QTSE,seedling,,,
153,QTSE,seedling,,,
154,QTSE,seedling,,,
155,QTSE,seedling,,,
156,QTSE,seedling,,,
157,QTSE,seedling,,,
158,QTA QTY 13 STEMS,young,,13,1 adult
159,QTB HUGE BUSH,unknown,,,huge bush
160,QTA,adult,,,
161,QTB,unknown,,,
162,QTSE,seedling,,,
163,QTSE,seedling,,,
164,QTSE,seedling,,,
165,QTA,adult,,,
166,QTSE,seedling,,,
167,qtse,seedling,,,
168,5qta approx 10qty,young,,10,5 adult
169,qtse,seedling,,,
170,qtse,seedling,,,
171,2qtse,seedling,,,
172,qtb,unknown,,,
173,qtb,unknown,,,
174,QTSE,seedling,,,
175,QTB,unknown,,,
176,QTB,unknown,,,
177,3QTA 5QTY AT LEAST,young,,5,3 adult
178,QTSE,seedling,,,
179,QTB,unknown,,,
180,QTB,unknown,,,
181,QTB,unknown,,,
182,QTB,unknown,,,
183,QTB,unknown,,,
184,QTB,unknown,,,
185,SAMEGROVE8QTAAPPROX42QTY,young,,42,8 adult
186,QTA UNKNOWN NUMBER,adult,,,
187,QTSP,sapling,,,
188,QTY1QTA1,young,,,1 adult
189,QTSE,seedling,,,
190,QTB,unknown,,,
191,1IND 10INCH DBH APPROX,unknown,10,,
192,1IND 20IN DBH HORIZ PILLBUGS,unknown,20,,pillbugs
193,1IND 25IN DBH ROOTS EXPOSED,unknown,25,,exposed
194,4STEM BIG 20 TO 30 DBH GROWUPCYN,unknown,20,4,
195,1IND 15IN DBHAPPROX CLIFFEDGE,unknown,,,cliffedge
196,STUMP OR ROOT SPROUT 2,unknown,,2,or stump
197,4STEM DUPLICATE ENTRY MORE ACCUR,unknown,,4,
198,1 STEM,unknown,,,
199,4 STEMS,unknown,,4,
200,1 STEM APPROX 20 INCH DBH,unknown,20,,
201,8 STEMS,unknown,,8,
202,2 STEMS,unknown,,2,
203,1 STEM,unknown,,,
204,1 STEM,unknown,,,
205,4 STEMS,unknown,,4,
206,4 STEM APPROX 8 TO 20 DBH,unknown,20,4,
207,1 STEM APPROX 6 INCH DBH,unknown,6,,
208,3 STEMS 1 IS BROKEN OFF AP 6 DBH,unknown,6,3,
209,1 STEN APPROX 5 DBH,unknown,5,,
210,1 STEM HORIZONTAL GROWTH AP 5IN,unknown,5,,
211,1 STEM FALLING DOWNHILL AP 8IN,unknown,8,,
212,1 STEM APPROX 6 INCH DBH,unknown,6,,
213,1 STEM APPROX 8IN DBH,unknown,9,,
214,7 STEMS 5 TO 20 IN DBH APPROX,unknown,5,7,
215,QT BR,unknown,,,
216,QT BR,unknown,,,
217,QT BR,unknown,,,
218,QT BR,unknown,,,
219,QT BR STRING CA 15 TR,unknown,,15,string
220,QT BR,unknown,,,
221,QT BR MAPPABLE STAND W EDGE,unknown,,,
222,QT STAND W EDGE,unknown,,,
223,LOW EDGE QT STAND,unknown,,,
224,QT BR,unknown,,,
225,QQT BR,unknown,,,
226,QT BR,unknown,,,
227,QT BR LOWER EDGE,unknown,,,
228,QT BR UPPER EDGE,unknown,,,
229,old quto circle ca 25 tall trnks,unknown,,,
230,same,unknown,,,
231,qt brw,unknown,,,
232,qt brw,unknown,,,
233,qt brw,unknown,,,
234,2 qt brw,unknown,,,
235,qt sd jn bpi,seedling,,,
236,15 brw qt here,unknown,,,
237,qt sd sp brw,seedling,,,1 sapling
238,qt 1st yr sdl,seedling,,,1st year
239,qt brw,unknown,,,
240,brw qt circl here,unknown,,,
241,qt brw,unknown,,,
242,qt sdl,seedling,,,
243,qt brw,unknown,,,
244,qt resprout circe 12trks,unknown,,12,
245,qt brw erod,unknown,,,eroded
246,qt sdl brw,seedling,,,
247,qt 25 sm poor trks,unknown,,25,
248,qt sdl,seedling,,,
249,qt bbrw,unknown,,,
250,brw qt 5x4m,unknown,,,5m by 4m
251,qt brw erod,unknown,,,
252,qt brw,unknown,,,
253,qt brw in adfa,unknown,,,
254,qt brw,unknown,,,
255,qt sdl,seedling,,,
256,qt brw in qupa,unknown,,,
257,qt brw,unknown,,,
258,qt brw in adfa more qt below,unknown,,,
259,3  qt brw in vaov,unknown,,3,
260,area below all brw qt groves,unknown,,,
261,2 qt brw in adfa,unknown,,,
262,qt brw,unknown,,,
263,qt brw,unknown,,,
264,qt brw,unknown,,,
265,4 sdl spl qt brw,seedling,,4,
266,qt 2 sdl 1 sapl,seedling,,2,1 sapling
267,3 qt brw in bapi,unknown,,3,
268,qt sdl in bapi,seedling,,,
269,qt sp in bapi brw,sapling,,,
270,2 qt sapl in bapi gr,sapling,,2,
271,qt sdl,seedling,,,
272,qt sdl,seedling,,,
273,qt brw,unknown,,,
274,lots sc qt brw slope to nw,unknown,,,
275,4 qt brw here,unknown,,4,
276,qt brw,unknown,,,
277,qt brw,unknown,,,
278,qt brw,unknown,,,
279,qt sdl brw,seedling,,,
280,qt sdl brw,seedling,,,
281,yng qt brw,young,,,
282,sapl qt brw,sapling,,,
283,qt spl brw,sapling,,,
284,2 qt sdl,seedling,,2,
285,qt spl,sapling,,,
286,brw qt,unknown,,,
287,qt brw,unknown,,,
288,qt brw,unknown,,,
289,qt brw,unknown,,,
290,qt brw,unknown,,,
291,qt brw sm lv patch 2x4m,unknown,,,2m by 4m
292,qt brw patch 8x8m vlg lvs,unknown,,,8m by 8m
293,qt brw 3x3m,unknown,,,3m by 3m
294,qt brw,unknown,,,
295,qt brw vlg lvs 5x4m,unknown,,,5m by 4m
296,qt dead trunks,unknown,,,dead trunks
297,qt brw,unknown,,,
298,qt brw,unknown,,,
299,old qt respr,resprout,,,
300,qt sdlng,seedling,,,
301,qt mature 6 trks,adult,,6,
302,qt brw,unknown,,,
303,vlg qt dead erod resprout,resprout,,,dead
304,qt sdl,seedling,,,
305,qt brw,unknown,,,
306,qt brw w arco,unknown,,,
307,qt brw w arco codi,unknown,,,
308,qt splng,sapling,,,
309,qt sdl,seedling,,,
310,qt brw in codi arco,unknown,,,
311,dead qt,unknown,,,dead
312,qt sdl in ag,seedling,,,
313,qt mature on floor 5 ind,adult,,,
314,qt sap brw,sapling,,,
315,3 qt resprout,resprout,,3,
316,qt sdlng,seedling,,,
317,qt sdl,seedling,,,
318,qt brw w arco,unknown,,,
319,qt mat upstr in bott ca 70 trks,adult,,70,
320,qt sdl w mifl,seedling,,,
321,qt mat upstream,adult,,,
322,qt a circle 13 trks,unknown,,13,
323,qt a,adult,,,
324,old qt resprt brw 8mx4m,resprout,,,8m by 4m
325,qt resprt roots brw,resprout,,,
326,qt a 1 trnk,unknown,,,
327,qt repsrt roots 3x2m,resprout,,,3m by 2m
328,qt brw,unknown,,,
329,qt sdl 5inc,seedling,5,,
330,qt brw maybe mapped,unknown,,,
331,qt sapl brw,sapling,,,
332,qt sdl,seedling,,,
333,qt sdl,seedling,,,
334,qt sdl,seedling,,,
335,quto,unknown,,,
336,quto,unknown,,,
337,QUTO,unknown,,,
338,Q BRW,unknown,,,
339,Q CLUMP,unknown,,,clump
340,Q,unknown,,,
341,QUTO BRWSD 5X5X1M,unknown,,,5m by 1m
342,BRWSD QUTO,unknown,,,
343,BRWSD QUTO 6X4M,unknown,,,6 m by 4m
344,QUTO STAND 30 TRUNKS BELOW,unknown,,,stand
345,QUTO SEEDLING,seedling,,,
346,YNG QUTO OR SDLNG,seedling,,,or young
347,QUTO SDL IN UPA,seedling,,,
348,BRWSD QUTO 3X2M,unknown,,,3m by 2m
349,MEDIUM QUTO,unknown,,,medium
350,QUTO SDLNG,seedling,,,
351,QUTO 4 BIG TRUNKS,unknown,,4,
352,QUTO SDL,seedling,,,
353,QUTO SDL,seedling,,,
354,QUTO SDL,seedling,,,
355,QUTO SDL,seedling,,,
356,QUTO SDL,seedling,,,
357,BRWSD QUTO SC PIRE SDL ARCO,seedling,,,
358,SM QUTO,unknown,,,
359,BWRSD QUTO SM ARCO,unknown,,,
360,BRWD QUTO,unknown,,,
361,BRWSD QUTO,unknown,,,
362,QUTO SEEDLING,seedling,,,
363,BRSWD QUTO,unknown,,,
364,5TRNK QUTO IN CODI FOREST,unknown,,,
365,QUTOGROVE 12 TRUNKS,unknown,,12,
366,QUTO SDL IN BAPI,seedling,,,
367,TEEN QUTO,unknown,,,teen
368,TEEN QUTO,unknown,,,teen
369,SM QUTO,unknown,,,small
370,YNG QUT,young,,,
371,BRSD QUTO,unknown,,,
372,BRWSD QUTO,unknown,,,
373,YNG QUTO,young,,,
374,YNG QUTO,young,,,
375,YNG QUTO,young,,,
376,YNG QUTO,young,,,
377,YNG QUTO IN BAPI,young,,,
378,QUTO SDLNG,seedling,,,
379,YNG QUTO,young,,,
380,YNG QUTO,young,,,
381,YNG QUTO IN BAPI,young,,,
382,QUTO SDL IN BAPI,seedling,,,
383,YNG QUTO IN BAPI,young,,,
384,QUTO NURS SDLNG,seedling,,,nursery
385,BRWSD QUTO,unknown,,,
386,QUTO SDL,seedling,,,
387,QUTO SDLNG,seedling,,,
388,QUTO SDL IN BAPI,seedling,,,
389,Q SDL,seedling,,,
390,BRWSD QUTO,unknown,,,
391,BRWSD QUTO,unknown,,,
392,BRWQT,unknown,,,
393,BRWQT,unknown,,,
394,BRW QT,unknown,,,
395,YNG QUTO IN BAPI AG,young,,,
396,BRW QT IN NAXX,unknown,,,
397,BRW QT,unknown,,,
398,BRW QT,unknown,,,
399,BRW QT,unknown,,,
400,VERY BRWSD QT,unknown,,,very browsed
401,YNG QT,young,,,
402,BRW QT,unknown,,,
403,BRW QT,unknown,,,
404,BRW QT,unknown,,,
405,BRW QT,unknown,,,
406,YNG QT IN BAPI GRS,young,,,
407,YNG BR QT,young,,,
408,YNG QT,young,,,
409,BRW QT,unknown,,,
410,BRW QT,unknown,,,
411,SMALL BRW QT IN BAPI,unknown,,,small
412,BRW QT,unknown,,,
413,BRW QT,unknown,,,
414,BR YNG QT IN EROD CHAN,young,,,
415,BRW YN QT,young,,,
416,V BRW QT,unknown,,,
417,BRW YNG QT,young,,,
418,4 BRW YNG QT THIS AREA ANNU,young,,4,
419,2 THIS YR QT HERE,young,,2,2 years old
420,BRW QT,unknown,,,
421,BRW QT,unknown,,,
422,NEW QT SDL,seedling,,,
423,EROD QT SDL,seedling,,,eroded
424,BRW QT,unknown,,,
425,BRW QT IN PTERID,unknown,,,
426,BRW QT IN PTERID,unknown,,,
427,BIG BRW QTS,seedling,,,or sapling
428,BIG BRW QT,unknown,,,
429,SM BRW QT,unknown,,,
430,2 BRW QT IN PT,unknown,,2,
431,BRW QT SDL IN PT,seedling,,,
432,BRW QT,unknown,,,
433,BRW QT,unknown,,,
434,BRW QT,unknown,,,
435,YNG QT SDL UND LG QT,young,,,
436,BRW QT,unknown,,,
437,BRW QT,unknown,,,
438,BRW QT,unknown,,,
439,BRW QT IN PTERID,unknown,,,
440,V BRW QUTO,unknown,,,
441,SM QUTO IN BRW QUPA,unknown,,,small
442,BIG QUTO ABOVE 12 TRS,unknown,,12,big
443,YNG QUTO BRW,young,,,
444,QUTO SDL IN DENSE PTERID,seedling,,,
445,BIG QUTO RESROUTING,resprout,,,big
446,BRW QT SDL,unknown,,,
447,YNG QT SDL,young,,,
448,BRW QT,unknown,,,
449,YNG QT IN GULLEY,young,,,
450,SEV YNG QUTO IN GLLEY,young,,,several
451,TEEN QUTO,unknown,,,teen
452,QUTO SDL IN STRMBED,seedling,,,
453,BRW YNG QUTO,young,,,
454,SEVERAL BRW QUTO,unknown,,,several
455,SEVERAL MORE BRW QUTO,unknown,,,several
456,2 BRWW QT MORE BELOW,unknown,,2,
457,4 BRW QUTO,unknown,,4,
458,V YNG QUTO,young,,,
459,SM QUTO,unknown,,,small
460,2 BRW QQUTO,unknown,,2,
461,BRW QT 3X2M,unknown,,,3m by 2m
462,BRRW QT,unknown,,,
463,BRW QT,unknown,,,
464,BRW EROD QT,unknown,,,
465,BRW QT,unknown,,,
466,BRW EROD QUTOO,unknown,,,
467,4 BRW QUTO 6X3M,unknown,,4,6m by 3m
468,QT YNG SDL,young,,,1 seedling
469,BRW QUTO,unknown,,,
470,Q BRWSD,unknown,,,
471,Q BRWSD,unknown,,,
472,Q BRWSD,unknown,,,
473,Q BRSWD,unknown,,,
474,Q BRWSD,unknown,,,
475,Q BRWSD,unknown,,,
476,QUTO BRWSD,unknown,,,
477,QUTO BRWSD,unknown,,,
478,QUTO BRWSD,unknown,,,
479,QUTO BRWSD,unknown,,,
480,QUTO BRWSD,unknown,,,
481,QUTO BRWSD,unknown,,,
482,QUTO BRWSD,unknown,,,
483,QUTO BRWSD,unknown,,,
484,QUTO BRWSD,unknown,,,
485,QUTO BRWSD,unknown,,,
486,QUTO BRWSD,unknown,,,
487,QUTO BRWSD,unknown,,,
488,QUTO BRWSD,unknown,,,
489,QUTO BRWSD,unknown,,,
490,QUTO BRWSD,unknown,,,
491,QUTO BRWSD,unknown,,,
492,QUTO BRWSD,unknown,,,
493,QUTO BRWSD,unknown,,,
494,QUTO BRWSD,unknown,,,
495,QUTO RECOVVERING,unknown,,,recovering
496,QUTO BRWSD,unknown,,,
497,QUTO BRWSD,unknown,,,
498,QUTO BRWSD,unknown,,,
499,QUTO BRWSD,unknown,,,
500,QUTO BRWSD,unknown,,,
501,QUTO BRWSD,unknown,,,
502,QUTO BRWSD,unknown,,,
503,QUTO BRWSD,unknown,,,
504,QUTO BRWSD,unknown,,,
505,QUTO BRWSD,unknown,,,
506,QUTO YOUNG,young,,,
507,QUTO BRWSD,unknown,,,
508,QUTO BRWSD,unknown,,,
509,QUTO BRWSD,unknown,,,
510,QUTO SMALL,unknown,,,small
511,QUTO SMALL,unknown,,,small
512,QUTO SDLNG IN BAPI,seedling,,,
513,QUTO IN BAPI,unknown,,,
514,SMALL QUTO IN BAPI,unknown,,,small
515,QUTO IN BAPI BRWSD,unknown,,,
516,QUTO SEEDLING,seedling,,,
517,QUTO BWRSD IN BAPI,unknown,,,
518,QUTO BRWSD,unknown,,,
519,QUTO YOUNG,young,,,
520,QUTO BRWSD,unknown,,,
521,QUTO BRWSD,unknown,,,
522,QUTO BRWSD,unknown,,,
523,QUTO BIGBIG,unknown,,,bigbig
524,QUTO BRWSD,unknown,,,
525,QUTO YNG,young,,,
526,QUTO BRWSD,unknown,,,caged
527,QUTO CAGED SEEDLING,seedling,,,
528,QUTO NEW SEEDLING,seedling,,,new
529,QUTO NEW SEEDLING,seedling,,,new
530,QUTO BRWSD,unknown,,,
531,QUTO IN ADFA,unknown,,,
532,QUTO IN ADFA,unknown,,,
533,QUTO BRWSD,unknown,,,
534,QUTO WITH ELMA,unknown,,,
535,QUTO BIG BRWSD,unknown,,,
536,QUTO IN ADFA,unknown,,,
537,QUTO BRWSD,unknown,,,
538,QUTO BRWSD,unknown,,,
539,QUTO BRWSD,unknown,,,
540,QUTO BRWSD IN BAPI,unknown,,,
541,QUTO BRWSD,unknown,,,
542,QUTO BRWSD,unknown,,,
543,NEAR FALLEN ISLAND OAK,unknown,,,
544,SRI VOLCANICS,unknown,,,
545,SRI VOLCANICS,unknown,,,
546,CANOPIE EDGE,unknown,,,
547,GRASSLAND AT RESTORATION SITE,unknown,,,
548,PECHO FURTHER GROVE,unknown,,,
549,CORNER1 OFFSET BURMA REL6,unknown,,,
550,CORNER3,unknown,,,
551,CORNER4,unknown,,,
552,RELEVE1BBURMAROADSOUTHEASTCORNER,unknown,,,
553,REL1 BURMAROAD SOUTHVEST CORNER,unknown,,,
554,REL1 BURMAROAD NORTHEAST CORNER,unknown,,,
555,REL1 BURMA NORTHVEST CORNER,unknown,,,
556,RELEVE3 BURMA ROAD NORTHVEST COR,unknown,,,
557,REL3 BURMARD NORTHEAST CORNER,unknown,,,
558,REL3 BURMA RD SOUTHEAST CORNER,unknown,,,
559,REL3 BURMA RD SOUTHVEST CORNER,unknown,,,
560,RELEVE4 BURMA RD NORTHEAST CORNR,unknown,,,
561,REL4 BURMA RD NORTHVEST CORNER,unknown,,,
562,REL4 BURMA RD SOUTHVEST CORNER,unknown,,,
563,REL4 BURMA RD SOUTHEAST CORNER,unknown,,,
564,RELEVE5 BURMA RD SOUTHEAST CORNR,unknown,,,
565,REL5 BURMA RD NORTHEAST CORNER,unknown,,,
566,REL5 BURMA RD NORTHVEST CORNER,unknown,,,
567,REL5 OFF BURMA RD SOUTHVEST CORN,unknown,,,
568,REL2 SOUTHVEST CORNER ISDOVNSLOP,unknown,,,
569,REL2 SOUTHVEST CORNER ACTUAL LOC,unknown,,,
570,REL2 BURMARD SOUTHEAST CORNER,unknown,,,
571,REL2 BURMAROADANORTHEAST CORNER,unknown,,,
572,REL2 BURMARD NORTTHVEST CORNER,unknown,,,
573,VINDMILL 1,unknown,,,
574,QUTO15,unknown,,,
575,qta,adult,,,
576,qta,adult,,,
577,qta,adult,,,
578,qty,young,,,
579,qty,young,,,
580,qty,young,,,
581,qta,adult,,,
